State,"p_{n,n-1}","p_{n,n}","p_{n,n+1}"
n=0,0.000000e+00,0.000000e+00,1.000000e+00
n=1,0.000000e+00,0.000000e+00,1.000000e+00
n=2,0.000000e+00,0.000000e+00,1.000000e+00
n=3,0.000000e+00,0.000000e+00,1.000000e+00
n=4,0.000000e+00,0.000000e+00,1.000000e+00
n=5,0.000000e+00,0.000000e+00,1.000000e+00
n=6,0.000000e+00,0.000000e+00,1.000000e+00
n=7,0.000000e+00,0.000000e+00,1.000000e+00
n=8,0.000000e+00,0.000000e+00,1.000000e+00
n=9,0.000000e+00,0.000000e+00,1.000000e+00
n=10,0.000000e+00,0.000000e+00,1.000000e+00
n=11,0.000000e+00,0.000000e+00,1.000000e+00
n=12,0.000000e+00,0.000000e+00,1.000000e+00
n=13,0.000000e+00,0.000000e+00,1.000000e+00
n=14,0.000000e+00,0.000000e+00,1.000000e+00
n=15,0.000000e+00,0.000000e+00,1.000000e+00
n=16,0.000000e+00,0.000000e+00,1.000000e+00
n=17,0.000000e+00,0.000000e+00,1.000000e+00
n=18,0.000000e+00,0.000000e+00,1.000000e+00
n=19,0.000000e+00,0.000000e+00,1.000000e+00
n=20,0.000000e+00,0.000000e+00,1.000000e+00
n=21,0.000000e+00,0.000000e+00,1.000000e+00
n=22,0.000000e+00,0.000000e+00,1.000000e+00
n=23,0.000000e+00,0.000000e+00,1.000000e+00
n=24,0.000000e+00,0.000000e+00,1.000000e+00
n=25,0.000000e+00,0.000000e+00,1.000000e+00
n=26,0.000000e+00,0.000000e+00,1.000000e+00
n=27,0.000000e+00,0.000000e+00,1.000000e+00
n=28,0.000000e+00,0.000000e+00,1.000000e+00
n=29,0.000000e+00,0.000000e+00,1.000000e+00
n=30,3.422910e-03,9.895837e-01,6.993421e-03
n=31,3.625472e-03,9.892936e-01,7.080917e-03
n=32,3.828175e-03,9.889997e-01,7.172103e-03
n=33,4.030906e-03,9.887024e-01,7.266655e-03
n=34,4.233571e-03,9.884021e-01,7.364287e-03
n=35,4.436092e-03,9.880992e-01,7.464745e-03
n=36,4.638406e-03,9.877938e-01,7.567803e-03
n=37,4.840460e-03,9.874863e-01,7.673261e-03
n=38,5.042213e-03,9.871769e-01,7.780937e-03
n=39,5.243631e-03,9.868657e-01,7.890670e-03
n=40,5.444685e-03,9.865530e-01,8.002316e-03
n=41,5.645356e-03,9.862389e-01,8.115743e-03
n=42,5.845625e-03,9.859235e-01,8.230832e-03
n=43,6.045481e-03,9.856070e-01,8.347476e-03
n=44,6.244914e-03,9.852895e-01,8.465578e-03
n=45,6.443917e-03,9.849710e-01,8.585047e-03
n=46,6.642487e-03,9.846517e-01,8.705803e-03
n=47,6.840621e-03,9.843316e-01,8.827770e-03
n=48,7.038319e-03,9.840108e-01,8.950881e-03
n=49,7.235583e-03,9.836893e-01,9.075073e-03
n=50,7.432414e-03,9.833673e-01,9.200288e-03
n=51,7.628815e-03,9.830447e-01,9.326472e-03
n=52,7.824791e-03,9.827216e-01,9.453576e-03
n=53,8.020347e-03,9.823981e-01,9.581554e-03
n=54,8.215487e-03,9.820741e-01,9.710364e-03
n=55,8.410217e-03,9.817498e-01,9.839966e-03
n=56,8.604543e-03,9.814251e-01,9.970324e-03
n=57,8.798472e-03,9.811001e-01,1.010140e-02
n=58,8.992009e-03,9.807748e-01,1.023317e-02
n=59,9.185162e-03,9.804492e-01,1.036560e-02
n=60,9.377936e-03,9.801234e-01,1.049866e-02
n=61,9.570340e-03,9.797973e-01,1.063232e-02
n=62,9.762379e-03,9.794711e-01,1.076657e-02
n=63,9.954060e-03,9.791446e-01,1.090137e-02
n=64,1.014539e-02,9.788179e-01,1.103671e-02
n=65,1.033638e-02,9.784911e-01,1.117256e-02
n=66,1.052702e-02,9.781641e-01,1.130891e-02
n=67,1.071734e-02,9.778369e-01,1.144574e-02
n=68,1.090733e-02,9.775096e-01,1.158303e-02
n=69,1.109701e-02,9.771822e-01,1.172076e-02
n=70,1.128637e-02,9.768547e-01,1.185893e-02
n=71,1.147543e-02,9.765271e-01,1.199750e-02
n=72,1.166418e-02,9.761993e-01,1.213648e-02
n=73,1.185265e-02,9.758715e-01,1.227584e-02
n=74,1.204082e-02,9.755436e-01,1.241558e-02
n=75,1.222872e-02,9.752156e-01,1.255568e-02
n=76,1.241633e-02,9.748875e-01,1.269614e-02
n=77,1.260368e-02,9.745594e-01,1.283693e-02
n=78,1.279076e-02,9.742312e-01,1.297805e-02
n=79,1.297758e-02,9.739029e-01,1.311950e-02
n=80,1.316414e-02,9.735746e-01,1.326125e-02
n=81,1.335045e-02,9.732462e-01,1.340331e-02
n=82,1.353652e-02,9.729178e-01,1.354566e-02
n=83,1.372235e-02,9.725894e-01,1.368830e-02
n=84,1.390794e-02,9.722608e-01,1.383121e-02
n=85,1.409330e-02,9.719323e-01,1.397440e-02
n=86,1.427843e-02,9.716037e-01,1.411784e-02
n=87,1.446334e-02,9.712751e-01,1.426155e-02
n=88,1.464803e-02,9.709465e-01,1.440550e-02
n=89,1.483251e-02,9.706178e-01,1.454969e-02
n=90,1.501677e-02,9.702891e-01,1.469413e-02
n=91,1.520083e-02,9.699604e-01,1.483879e-02
