State,"p_{n,n-1}","p_{n,n}","p_{n,n+1}"
n=0,0.000000e+00,0.000000e+00,1.000000e+00
n=1,0.000000e+00,0.000000e+00,1.000000e+00
n=2,0.000000e+00,0.000000e+00,1.000000e+00
n=3,0.000000e+00,0.000000e+00,1.000000e+00
n=4,0.000000e+00,0.000000e+00,1.000000e+00
n=5,0.000000e+00,0.000000e+00,1.000000e+00
n=6,0.000000e+00,0.000000e+00,1.000000e+00
n=7,0.000000e+00,0.000000e+00,1.000000e+00
n=8,0.000000e+00,0.000000e+00,1.000000e+00
n=9,0.000000e+00,0.000000e+00,1.000000e+00
n=10,0.000000e+00,0.000000e+00,1.000000e+00
n=11,0.000000e+00,0.000000e+00,1.000000e+00
n=12,0.000000e+00,0.000000e+00,1.000000e+00
n=13,0.000000e+00,0.000000e+00,1.000000e+00
n=14,0.000000e+00,0.000000e+00,1.000000e+00
n=15,0.000000e+00,0.000000e+00,1.000000e+00
n=16,0.000000e+00,0.000000e+00,1.000000e+00
n=17,0.000000e+00,0.000000e+00,1.000000e+00
n=18,0.000000e+00,0.000000e+00,1.000000e+00
n=19,0.000000e+00,0.000000e+00,1.000000e+00
n=20,0.000000e+00,0.000000e+00,1.000000e+00
n=21,0.000000e+00,0.000000e+00,1.000000e+00
n=22,0.000000e+00,0.000000e+00,1.000000e+00
n=23,0.000000e+00,0.000000e+00,1.000000e+00
n=24,0.000000e+00,0.000000e+00,1.000000e+00
n=25,0.000000e+00,0.000000e+00,1.000000e+00
n=26,2.484480e-03,9.921874e-01,5.328138e-03
n=27,2.656710e-03,9.919408e-01,5.402462e-03
n=28,2.829184e-03,9.916903e-01,5.480473e-03
n=29,3.001765e-03,9.914364e-01,5.561804e-03
n=30,3.174346e-03,9.911795e-01,5.646137e-03
n=31,3.346835e-03,9.909200e-01,5.733192e-03
n=32,3.519164e-03,9.906581e-01,5.822727e-03
n=33,3.691273e-03,9.903942e-01,5.914527e-03
n=34,3.863119e-03,9.901285e-01,6.008402e-03
n=35,4.034664e-03,9.898612e-01,6.104185e-03
n=36,4.205881e-03,9.895924e-01,6.201728e-03
n=37,4.376748e-03,9.893224e-01,6.300897e-03
n=38,4.547249e-03,9.890512e-01,6.401572e-03
n=39,4.717371e-03,9.887790e-01,6.503649e-03
n=40,4.887107e-03,9.885059e-01,6.607029e-03
n=41,5.056451e-03,9.882319e-01,6.711626e-03
n=42,5.225400e-03,9.879572e-01,6.817362e-03
n=43,5.393954e-03,9.876819e-01,6.924164e-03
n=44,5.562112e-03,9.874059e-01,7.031969e-03
n=45,5.729877e-03,9.871294e-01,7.140715e-03
n=46,5.897253e-03,9.868524e-01,7.250350e-03
n=47,6.064244e-03,9.865749e-01,7.360822e-03
n=48,6.230853e-03,9.862971e-01,7.472087e-03
n=49,6.397087e-03,9.860188e-01,7.584101e-03
n=50,6.562952e-03,9.857402e-01,7.696827e-03
n=51,6.728453e-03,9.854613e-01,7.810228e-03
n=52,6.893597e-03,9.851821e-01,7.924271e-03
n=53,7.058391e-03,9.849027e-01,8.038925e-03
n=54,7.222841e-03,9.846230e-01,8.154161e-03
n=55,7.386954e-03,9.843431e-01,8.269952e-03
n=56,7.550737e-03,9.840630e-01,8.386274e-03
n=57,7.714196e-03,9.837827e-01,8.503104e-03
n=58,7.877339e-03,9.835022e-01,8.620419e-03
n=59,8.040172e-03,9.832216e-01,8.738199e-03
n=60,8.202702e-03,9.829409e-01,8.856425e-03
n=61,8.364935e-03,9.826600e-01,8.975080e-03
n=62,8.526878e-03,9.823790e-01,9.094146e-03
n=63,8.688537e-03,9.820979e-01,9.213608e-03
n=64,8.849919e-03,9.818166e-01,9.333450e-03
n=65,9.011029e-03,9.815353e-01,9.453658e-03
n=66,9.171873e-03,9.812539e-01,9.574220e-03
n=67,9.332458e-03,9.809724e-01,9.695122e-03
n=68,9.492788e-03,9.806909e-01,9.816353e-03
n=69,9.652870e-03,9.804092e-01,9.937902e-03
n=70,9.812709e-03,9.801275e-01,1.005976e-02
n=71,9.972311e-03,9.798458e-01,1.018191e-02
n=72,1.013168e-02,9.795640e-01,1.030435e-02
n=73,1.029082e-02,9.792821e-01,1.042706e-02
n=74,1.044974e-02,9.790002e-01,1.055005e-02
n=75,1.060844e-02,9.787183e-01,1.067329e-02
n=76,1.076693e-02,9.784363e-01,1.079679e-02
n=77,1.092521e-02,9.781543e-01,1.092054e-02
n=78,1.108328e-02,9.778722e-01,1.104452e-02
n=79,1.124115e-02,9.775901e-01,1.116873e-02
n=80,1.139883e-02,9.773080e-01,1.129317e-02
n=81,1.155632e-02,9.770259e-01,1.141783e-02
n=82,1.171362e-02,9.767437e-01,1.154270e-02
n=83,1.187073e-02,9.764615e-01,1.166777e-02
n=84,1.202767e-02,9.761793e-01,1.179305e-02
n=85,1.218443e-02,9.758971e-01,1.191852e-02
n=86,1.234101e-02,9.756148e-01,1.204418e-02
n=87,1.249743e-02,9.753325e-01,1.217003e-02
n=88,1.265368e-02,9.750503e-01,1.229606e-02
n=89,1.280976e-02,9.747680e-01,1.242226e-02
n=90,1.296569e-02,9.744857e-01,1.254864e-02
n=91,1.312146e-02,9.742034e-01,1.267518e-02
