State,"p_{n,n-1}","p_{n,n}","p_{n,n+1}"
n=0,0.000000e+00,0.000000e+00,1.000000e+00
n=1,0.000000e+00,0.000000e+00,1.000000e+00
n=2,0.000000e+00,0.000000e+00,1.000000e+00
n=3,0.000000e+00,0.000000e+00,1.000000e+00
n=4,0.000000e+00,0.000000e+00,1.000000e+00
n=5,0.000000e+00,0.000000e+00,1.000000e+00
n=6,2.556957e-03,9.896616e-01,7.781404e-03
n=7,3.038722e-03,9.891526e-01,7.808701e-03
n=8,3.488226e-03,9.886328e-01,7.878928e-03
n=9,3.909139e-03,9.881144e-01,7.976488e-03
n=10,4.304981e-03,9.876031e-01,8.091923e-03
n=11,4.678857e-03,9.871019e-01,8.219237e-03
n=12,5.033420e-03,9.866121e-01,8.354489e-03
n=13,5.370915e-03,9.861341e-01,8.495014e-03
n=14,5.693239e-03,9.856678e-01,8.638967e-03
n=15,6.001997e-03,9.852130e-01,8.785048e-03
n=16,6.298558e-03,9.847691e-01,8.932323e-03
n=17,6.584095e-03,9.843358e-01,9.080117e-03
n=18,6.859615e-03,9.839124e-01,9.227935e-03
n=19,7.125993e-03,9.834986e-01,9.375415e-03
n=20,7.383992e-03,9.830937e-01,9.522289e-03
n=21,7.634280e-03,9.826974e-01,9.668358e-03
n=22,7.877445e-03,9.823091e-01,9.813478e-03
n=23,8.114009e-03,9.819284e-01,9.957544e-03
n=24,8.344436e-03,9.815551e-01,1.010048e-02
n=25,8.569139e-03,9.811886e-01,1.024224e-02
n=26,8.788492e-03,9.808287e-01,1.038278e-02
n=27,9.002829e-03,9.804751e-01,1.052208e-02
n=28,9.212454e-03,9.801274e-01,1.066014e-02
n=29,9.417641e-03,9.797854e-01,1.079694e-02
n=30,9.618640e-03,9.794489e-01,1.093250e-02
n=31,9.815680e-03,9.791175e-01,1.106683e-02
n=32,1.000897e-02,9.787911e-01,1.119993e-02
n=33,1.019870e-02,9.784695e-01,1.133182e-02
n=34,1.038505e-02,9.781524e-01,1.146252e-02
n=35,1.056819e-02,9.778398e-01,1.159205e-02
n=36,1.074825e-02,9.775313e-01,1.172042e-02
n=37,1.092539e-02,9.772270e-01,1.184766e-02
n=38,1.109973e-02,9.769265e-01,1.197379e-02
n=39,1.127139e-02,9.766298e-01,1.209883e-02
n=40,1.144049e-02,9.763367e-01,1.222280e-02
n=41,1.160713e-02,9.760471e-01,1.234573e-02
n=42,1.177140e-02,9.757610e-01,1.246762e-02
n=43,1.193341e-02,9.754781e-01,1.258851e-02
n=44,1.209324e-02,9.751983e-01,1.270842e-02
n=45,1.225096e-02,9.749217e-01,1.282737e-02
n=46,1.240667e-02,9.746480e-01,1.294537e-02
n=47,1.256041e-02,9.743771e-01,1.306244e-02
n=48,1.271228e-02,9.741091e-01,1.317861e-02
n=49,1.286232e-02,9.738438e-01,1.329389e-02
n=50,1.301060e-02,9.735811e-01,1.340831e-02
n=51,1.315718e-02,9.733210e-01,1.352187e-02
n=52,1.330211e-02,9.730633e-01,1.363460e-02
n=53,1.344545e-02,9.728080e-01,1.374651e-02
n=54,1.358724e-02,9.725551e-01,1.385762e-02
n=55,1.372753e-02,9.723045e-01,1.396794e-02
n=56,1.386637e-02,9.720561e-01,1.407750e-02
n=57,1.400379e-02,9.718099e-01,1.418630e-02
n=58,1.413984e-02,9.715658e-01,1.429436e-02
n=59,1.427455e-02,9.713238e-01,1.440169e-02
n=60,1.440797e-02,9.710837e-01,1.450831e-02
n=61,1.454013e-02,9.708456e-01,1.461424e-02
n=62,1.467106e-02,9.706095e-01,1.471948e-02
n=63,1.480079e-02,9.703752e-01,1.482404e-02
n=64,1.492935e-02,9.701427e-01,1.492794e-02
n=65,1.505678e-02,9.699120e-01,1.503120e-02
n=66,1.518311e-02,9.696831e-01,1.513382e-02
n=67,1.530835e-02,9.694558e-01,1.523581e-02
n=68,1.543254e-02,9.692303e-01,1.533719e-02
n=69,1.555570e-02,9.690063e-01,1.543796e-02
n=70,1.567786e-02,9.687840e-01,1.553814e-02
n=71,1.579903e-02,9.685632e-01,1.563774e-02
n=72,1.591925e-02,9.683440e-01,1.573677e-02
n=73,1.603853e-02,9.681262e-01,1.583523e-02
n=74,1.615689e-02,9.679100e-01,1.593313e-02
n=75,1.627436e-02,9.676952e-01,1.603049e-02
n=76,1.639095e-02,9.674817e-01,1.612731e-02
n=77,1.650668e-02,9.672697e-01,1.622361e-02
n=78,1.662157e-02,9.670590e-01,1.631938e-02
n=79,1.673563e-02,9.668497e-01,1.641465e-02
n=80,1.684890e-02,9.666417e-01,1.650941e-02
n=81,1.696137e-02,9.664350e-01,1.660368e-02
n=82,1.707306e-02,9.662295e-01,1.669745e-02
n=83,1.718400e-02,9.660252e-01,1.679075e-02
n=84,1.729420e-02,9.658222e-01,1.688358e-02
n=85,1.740366e-02,9.656204e-01,1.697593e-02
n=86,1.751241e-02,9.654198e-01,1.706783e-02
n=87,1.762046e-02,9.652203e-01,1.715928e-02
n=88,1.772782e-02,9.650219e-01,1.725028e-02
n=89,1.783450e-02,9.648247e-01,1.734084e-02
n=90,1.794051e-02,9.646285e-01,1.743097e-02
n=91,1.804588e-02,9.644334e-01,1.752067e-02
