State,"p_{n,n-1}","p_{n,n}","p_{n,n+1}"
n=0,0.000000e+00,0.000000e+00,1.000000e+00
n=1,0.000000e+00,0.000000e+00,1.000000e+00
n=2,0.000000e+00,0.000000e+00,1.000000e+00
n=3,0.000000e+00,0.000000e+00,1.000000e+00
n=4,0.000000e+00,0.000000e+00,1.000000e+00
n=5,0.000000e+00,0.000000e+00,1.000000e+00
n=6,0.000000e+00,0.000000e+00,1.000000e+00
n=7,0.000000e+00,0.000000e+00,1.000000e+00
n=8,0.000000e+00,0.000000e+00,1.000000e+00
n=9,0.000000e+00,0.000000e+00,1.000000e+00
n=10,0.000000e+00,0.000000e+00,1.000000e+00
n=11,0.000000e+00,0.000000e+00,1.000000e+00
n=12,0.000000e+00,0.000000e+00,1.000000e+00
n=13,0.000000e+00,0.000000e+00,1.000000e+00
n=14,0.000000e+00,0.000000e+00,1.000000e+00
n=15,0.000000e+00,0.000000e+00,1.000000e+00
n=16,0.000000e+00,0.000000e+00,1.000000e+00
n=17,0.000000e+00,0.000000e+00,1.000000e+00
n=18,0.000000e+00,0.000000e+00,1.000000e+00
n=19,0.000000e+00,0.000000e+00,1.000000e+00
n=20,0.000000e+00,0.000000e+00,1.000000e+00
n=21,0.000000e+00,0.000000e+00,1.000000e+00
n=22,0.000000e+00,0.000000e+00,1.000000e+00
n=23,0.000000e+00,0.000000e+00,1.000000e+00
n=24,0.000000e+00,0.000000e+00,1.000000e+00
n=25,0.000000e+00,0.000000e+00,1.000000e+00
n=26,0.000000e+00,0.000000e+00,1.000000e+00
n=27,0.000000e+00,0.000000e+00,1.000000e+00
n=28,0.000000e+00,0.000000e+00,1.000000e+00
n=29,0.000000e+00,0.000000e+00,1.000000e+00
n=30,0.000000e+00,0.000000e+00,1.000000e+00
n=31,0.000000e+00,0.000000e+00,1.000000e+00
n=32,0.000000e+00,0.000000e+00,1.000000e+00
n=33,0.000000e+00,0.000000e+00,1.000000e+00
n=34,0.000000e+00,0.000000e+00,1.000000e+00
n=35,0.000000e+00,0.000000e+00,1.000000e+00
n=36,0.000000e+00,0.000000e+00,1.000000e+00
n=37,0.000000e+00,0.000000e+00,1.000000e+00
n=38,0.000000e+00,0.000000e+00,1.000000e+00
n=39,0.000000e+00,0.000000e+00,1.000000e+00
n=40,0.000000e+00,0.000000e+00,1.000000e+00
n=41,0.000000e+00,0.000000e+00,1.000000e+00
n=42,0.000000e+00,0.000000e+00,1.000000e+00
n=43,0.000000e+00,0.000000e+00,1.000000e+00
n=44,0.000000e+00,0.000000e+00,1.000000e+00
n=45,0.000000e+00,0.000000e+00,1.000000e+00
n=46,0.000000e+00,0.000000e+00,1.000000e+00
n=47,0.000000e+00,0.000000e+00,1.000000e+00
n=48,0.000000e+00,0.000000e+00,1.000000e+00
n=49,0.000000e+00,0.000000e+00,1.000000e+00
n=50,0.000000e+00,0.000000e+00,1.000000e+00
n=51,0.000000e+00,0.000000e+00,1.000000e+00
n=52,0.000000e+00,0.000000e+00,1.000000e+00
n=53,0.000000e+00,0.000000e+00,1.000000e+00
n=54,0.000000e+00,0.000000e+00,1.000000e+00
n=55,0.000000e+00,0.000000e+00,1.000000e+00
n=56,0.000000e+00,0.000000e+00,1.000000e+00
n=57,0.000000e+00,0.000000e+00,1.000000e+00
n=58,0.000000e+00,0.000000e+00,1.000000e+00
n=59,0.000000e+00,0.000000e+00,1.000000e+00
n=60,0.000000e+00,0.000000e+00,1.000000e+00
n=61,0.000000e+00,0.000000e+00,1.000000e+00
n=62,0.000000e+00,0.000000e+00,1.000000e+00
n=63,0.000000e+00,0.000000e+00,1.000000e+00
n=64,0.000000e+00,0.000000e+00,1.000000e+00
n=65,0.000000e+00,0.000000e+00,1.000000e+00
n=66,0.000000e+00,0.000000e+00,1.000000e+00
n=67,0.000000e+00,0.000000e+00,1.000000e+00
n=68,0.000000e+00,0.000000e+00,1.000000e+00
n=69,0.000000e+00,0.000000e+00,1.000000e+00
n=70,0.000000e+00,0.000000e+00,1.000000e+00
n=71,0.000000e+00,0.000000e+00,1.000000e+00
n=72,0.000000e+00,0.000000e+00,1.000000e+00
n=73,0.000000e+00,0.000000e+00,1.000000e+00
n=74,0.000000e+00,0.000000e+00,1.000000e+00
n=75,0.000000e+00,0.000000e+00,1.000000e+00
n=76,0.000000e+00,0.000000e+00,1.000000e+00
n=77,8.332747e-04,9.892506e-01,9.916162e-03
n=78,1.038670e-03,9.898577e-01,9.103591e-03
n=79,1.277247e-03,9.903856e-01,8.337199e-03
n=80,1.550503e-03,9.908315e-01,7.618016e-03
n=81,1.859367e-03,9.911941e-01,6.946515e-03
n=82,2.204174e-03,9.914732e-01,6.322602e-03
n=83,2.584682e-03,9.916697e-01,5.745626e-03
n=84,3.000109e-03,9.917855e-01,5.214423e-03
n=85,3.449197e-03,9.918234e-01,4.727383e-03
n=86,3.930288e-03,9.917872e-01,4.282522e-03
n=87,4.441411e-03,9.916810e-01,3.877575e-03
n=88,4.980371e-03,9.915096e-01,3.510073e-03
n=89,5.544827e-03,9.912777e-01,3.177433e-03
n=90,6.132371e-03,9.909906e-01,2.877020e-03
n=91,6.740592e-03,9.906532e-01,2.606219e-03
